DATE,white_bread,ground_beef,egg,whole_milk,banana,urban_cpi
10/1/2012,1.422,0,1.96,3.524,0.602,234.878
11/1/2012,1.418,3.175,1.963,3.536,0.6,234.896
12/1/2012,1.436,3.08,2.007,3.58,0.606,235.390
1/1/2013,1.422,3.407,1.933,3.526,0.609,236.341
2/1/2013,1.411,3.379,1.965,3.48,0.611,236.301
3/1/2013,1.412,3.332,1.925,3.431,0.609,236.332
4/1/2013,1.409,3.268,1.918,3.428,0.597,236.841
5/1/2013,1.401,3.311,1.87,3.441,0.603,236.526
6/1/2013,1.439,3.382,1.859,3.458,0.603,236.792
7/1/2013,1.434,3.459,1.833,3.449,0.602,237.001
8/1/2013,1.408,3.454,1.838,3.448,0.595,237.406
9/1/2013,1.419,3.502,1.897,3.428,0.601,237.522
10/1/2013,1.358,3.389,1.925,3.462,0.586,237.871
11/1/2013,1.382,3.477,1.925,3.491,0.587,237.641
12/1/2013,1.385,3.46,2.026,3.501,0.592,237.869
1/1/2014,1.365,3.467,2.008,3.552,0.595,238.872
2/1/2014,1.388,3.555,1.998,3.561,0.599,239.608
3/1/2014,1.359,3.698,2.061,3.669,0.597,240.398
4/1/2014,1.388,3.808,2.119,3.687,0.597,241.337
5/1/2014,1.401,3.856,1.996,3.735,0.603,242.344
6/1/2014,1.4,3.88,1.948,3.626,0.607,242.326
7/1/2014,1.413,3.884,1.95,3.645,0.606,243.034
8/1/2014,1.396,4.013,1.979,3.673,0.608,243.811
9/1/2014,1.405,4.096,1.97,3.732,0.606,244.630
10/1/2014,1.414,4.154,1.951,3.766,0.582,245.166
11/1/2014,1.42,4.201,2.032,3.858,0.592,245.192
12/1/2014,1.466,4.156,2.21,3.82,0.585,245.976
1/1/2015,1.479,4.235,2.113,3.758,0.583,246.538
2/1/2015,1.435,4.238,2.088,3.496,0.591,246.680
3/1/2015,1.44,4.2,2.133,3.463,0.593,246.045
4/1/2015,1.454,4.231,2.065,3.397,0.597,246.121
5/1/2015,1.463,4.136,1.962,3.387,0.582,246.187
6/1/2015,1.467,4.221,2.57,3.366,0.574,246.680
7/1/2015,1.447,4.2,2.57,3.43,0.581,247.003
8/1/2015,1.42,4.159,2.943,3.389,0.58,247.671
9/1/2015,1.432,4.126,2.966,3.392,0.58,248.632
10/1/2015,1.418,4.083,2.808,3.338,0.577,249.052
11/1/2015,1.409,4.113,2.664,3.299,0.575,248.306
12/1/2015,1.428,4.06,2.751,3.31,0.58,247.903
1/1/2016,1.425,3.978,2.328,3.313,0.581,248.631
2/1/2016,1.407,3.964,2.267,3.23,0.573,248.800
3/1/2016,1.416,3.955,2.081,3.187,0.586,247.978
4/1/2016,1.406,3.815,1.793,3.155,0.574,248.413
5/1/2016,1.382,3.717,1.684,3.157,0.57,247.860
6/1/2016,1.333,3.725,1.491,3.115,0.569,247.482
7/1/2016,1.349,3.69,1.546,3.062,0.567,247.554
8/1/2016,1.341,3.657,1.455,3.141,0.562,247.719
9/1/2016,1.329,3.665,1.471,3.229,0.575,247.917
10/1/2016,1.343,3.679,1.39,3.292,0.57,248.073
11/1/2016,1.362,3.597,1.321,3.28,0.573,247.435
12/1/2016,1.362,3.559,1.383,3.29,0.576,247.313
1/1/2017,1.351,3.553,1.599,3.318,0.573,248.242
2/1/2017,1.358,3.557,1.464,3.3,0.573,248.791
3/1/2017,1.329,3.594,1.404,3.315,0.571,249.165
4/1/2017,1.328,3.547,1.409,3.259,0.571,249.739
5/1/2017,1.327,3.559,1.414,3.242,0.564,250.016
6/1/2017,1.335,3.679,1.332,3.213,0.572,249.653
7/1/2017,1.327,3.754,1.333,3.219,0.565,250.214
8/1/2017,1.348,3.732,1.367,3.168,0.561,250.493
9/1/2017,1.349,3.707,1.422,3.209,0.544,250.993
10/1/2017,1.328,3.688,1.54,3.158,0.548,251.364
11/1/2017,1.295,3.638,1.506,3.15,0.551,250.871
12/1/2017,1.316,3.708,1.815,3.155,0.558,251.238
1/1/2018,1.281,3.641,1.769,2.961,0.568,252.361
2/1/2018,1.265,3.642,1.755,2.923,0.574,252.266
3/1/2018,1.309,3.657,1.831,2.903,0.582,252.370
4/1/2018,1.281,3.73,2.081,2.924,0.578,253.209
5/1/2018,1.293,3.685,1.987,2.919,0.575,253.098
6/1/2018,1.279,3.729,1.628,2.877,0.575,253.231
7/1/2018,1.293,3.745,1.725,2.839,0.575,253.746
8/1/2018,1.302,3.792,1.622,2.871,0.569,254.077
9/1/2018,1.288,3.743,1.651,2.89,0.573,254.393
10/1/2018,1.277,3.714,1.66,2.913,0.574,254.358
11/1/2018,1.274,3.781,1.596,2.877,0.566,254.379
12/1/2018,1.29,3.725,1.595,2.853,0.577,255.210
1/1/2019,1.274,3.801,1.554,2.913,0.576,256.417
2/1/2019,1.282,3.758,1.557,2.9,0.571,257.222
3/1/2019,1.261,3.725,1.544,2.944,0.581,257.724
4/1/2019,1.285,3.775,1.463,2.98,0.567,257.708
5/1/2019,1.289,3.822,1.362,2.963,0.579,258.110
6/1/2019,1.28,3.812,1.203,3.054,0.574,258.064
7/1/2019,1.281,3.8,1.243,3.031,0.569,258.274
8/1/2019,1.275,3.819,1.219,3.045,0.578,258.410
9/1/2019,1.296,3.851,1.383,3.102,0.569,258.943
10/1/2019,1.325,3.841,1.282,3.119,0.573,259.632
11/1/2019,1.361,3.812,1.405,3.189,0.573,259.467
12/1/2019,1.363,3.862,1.535,3.188,0.573,259.823
1/1/2020,1.351,3.886,1.461,3.253,0.57,261.057
2/1/2020,1.375,3.865,1.449,3.196,0.574,261.876
3/1/2020,1.374,3.881,1.525,3.248,0.576,262.708
4/1/2020,1.406,4.052,2.019,3.267,0.581,266.757
5/1/2020,1.412,4.461,1.64,3.21,0.589,268.439
6/1/2020,1.474,4.737,1.554,3.198,0.588,269.770
7/1/2020,1.485,4.264,1.401,3.255,0.58,268.863
8/1/2020,1.495,4.177,1.328,3.406,0.576,269.079
9/1/2020,1.492,4.076,1.353,3.448,0.574,269.163
10/1/2020,1.503,4.008,1.408,3.38,0.577,269.828
11/1/2020,1.515,4.027,1.45,3.425,0.578,269.069
12/1/2020,1.538,3.951,1.481,3.535,0.572,270.023
1/1/2021,1.546,3.965,1.466,3.468,0.597,270.938
2/1/2021,1.537,3.987,1.597,3.368,0.59,271.363
3/1/2021,1.526,4.042,1.625,3.348,0.594,271.812
4/1/2021,1.51,4.096,1.62,3.447,0.604,273.090
5/1/2021,1.511,4.101,1.625,3.497,0.6,274.212
6/1/2021,1.51,4.357,1.642,3.557,0.595,276.206
7/1/2021,1.491,4.388,1.642,3.627,0.594,278.127
8/1/2021,1.467,4.468,1.709,3.56,0.589,279.135
9/1/2021,1.58,4.504,1.835,3.585,0.597,281.506
10/1/2021,1.526,4.719,1.821,3.663,0.6,284.205
11/1/2021,1.547,4.716,1.718,3.671,0.619,285.507
12/1/2021,1.532,4.604,1.788,3.743,0.622,286.966
1/1/2022,1.555,4.554,1.929,3.787,0.63,289.772
2/1/2022,1.578,4.63,2.005,3.875,0.628,292.794
3/1/2022,1.607,4.757,2.046,3.917,0.642,295.728
4/1/2022,1.612,4.916,2.52,4.012,0.637,298.711
5/1/2022,1.606,4.794,2.863,4.204,0.642,302.038
6/1/2022,1.691,4.889,2.707,4.153,0.64,305.041
7/1/2022,1.715,4.893,2.936,4.156,0.64,308.532
8/1/2022,1.756,4.937,3.116,4.194,0.643,310.875
9/1/2022,1.749,4.862,2.902,4.181,0.643,313.142
10/1/2022,1.814,4.836,3.419,4.184,0.634,315.323
11/1/2022,1.847,4.853,3.589,4.218,0.631,315.857
12/1/2022,1.873,4.8,4.25,4.211,0.628,316.839
1/1/2023,1.888,4.791,4.823,4.204,0.639,319.136
2/1/2023,1.896,4.778,4.211,4.163,0.641,320.569
3/1/2023,1.936,4.813,3.446,4.098,0.632,320.863
4/1/2023,1.989,4.79,3.27,4.042,0.635,321.566
5/1/2023,1.951,4.96,2.666,4.042,0.628,322.249
6/1/2023,1.937,5.028,2.219,3.985,0.625,322.556
7/1/2023,1.98,5.102,2.094,3.971,0.631,323.523
8/1/2023,1.97,5.076,2.043,3.927,0.631,324.100
9/1/2023,1.972,5.109,2.065,3.965,0.625,324.704
10/1/2023,2.002,5.226,2.072,3.927,0.626,325.731
11/1/2023,1.976,5.353,2.138,3.997,0.627,325.172
12/1/2023,2.024,5.21,2.507,4.008,0.625,325.409
1/1/2024,2.033,5.03,2.522,3.958,0.617,327.327
2/1/2024,2.006,5.132,2.996,3.94,0.625,327.731
